0800,0800
03500,03500
,
0000,0000
21,twentyOne
,
01300,01300
,
04300,04300
,
,
0500,0500
02900,02900
03200,03200
02100,02100
DSAhelp,DSAstruggling
04800,04800
01000,01000
,
03700,03700
04000,04000
,
0200,0200
02600,02600
,
01500,01500
,
04500,04500
,
,
0700,0700
03400,03400
,
02300,02300
,
,
01200,01200
,
03900,03900
04200,04200
,
0400,0400
02800,02800
03100,03100
02000,02000
,
04700,04700
,
,
0900,0900
03600,03600
,
0100,0100
02500,02500
,
01400,01400
,
04400,04400
,
,
0600,0600
03300,03300
,
02200,02200
,
04900,04900
01100,01100
,
03800,03800
04100,04100
,
0300,0300
02700,02700
03000,03000
01600,01600
,
04600,04600
12,twelve
,
